"","(Intercept)","scale(temp_seas)","scale(precip)","scale(clay)","scale(water_dist)","closed_prop","scale(rough_range)","scale(log_hum_pop)","as.factor(WDPA)4","as.factor(WDPA)6"
"Community","-1.72 [-3.30, -0.06]","-0.52 [-1.26, 0.15]","-0.84 [-1.75, 0.05]","0.11 [-0.40, 0.62]","0.06 [-0.20, 0.33]","0.25 [-1.00, 1.47]","-0.32 [-0.61, -0.05]","0.01 [-0.53, 0.56]","-0.11 [-0.74, 0.56]","-0.38 [-1.25, 0.48]"
"Aardwolf","-4.45 [-7.72, -1.45]","-1.12 [-2.95, 0.21]","-3.95 [-6.05, -2.17]","-0.41 [-1.21, 0.34]","-0.11 [-0.56, 0.36]","-1.57 [-3.32, 0.11]","-0.73 [-1.32, -0.22]","1.11 [0.35, 1.90]","-0.23 [-1.41, 0.92]","-0.84 [-2.04, 0.31]"
"African civet","-1.78 [-4.65, 1.10]","0.33 [-0.94, 1.89]","-0.51 [-1.73, 0.68]","-0.60 [-1.71, 0.41]","-0.14 [-0.58, 0.27]","2.24 [0.39, 4.21]","0.07 [-0.39, 0.56]","-1.78 [-3.04, -0.62]","0.57 [-0.80, 2.41]","-0.75 [-2.23, 0.67]"
"African wild dog","-2.28 [-5.15, 0.58]","-0.57 [-1.85, 0.58]","-1.33 [-2.34, -0.40]","0.30 [-0.50, 1.14]","0.01 [-0.30, 0.30]","1.61 [0.42, 2.89]","-0.30 [-0.78, 0.18]","0.33 [-0.29, 0.97]","-1.08 [-2.42, -0.02]","-1.63 [-3.28, -0.16]"
"African wildcat","-3.83 [-7.06, -0.82]","-0.83 [-2.34, 0.43]","-0.36 [-1.71, 0.89]","-0.48 [-1.27, 0.26]","-0.10 [-0.64, 0.44]","0.15 [-1.61, 1.90]","-0.34 [-0.87, 0.13]","0.48 [-0.29, 1.30]","-0.02 [-1.19, 1.24]","0.41 [-0.89, 1.85]"
"Bat-eared fox","-4.28 [-7.63, -1.34]","-1.22 [-3.27, 0.17]","-1.73 [-3.17, -0.47]","-0.28 [-1.15, 0.55]","-0.24 [-0.83, 0.26]","-1.70 [-3.94, 0.30]","-0.34 [-0.92, 0.21]","0.80 [-0.09, 1.74]","-0.25 [-1.63, 1.09]","-0.71 [-1.88, 0.42]"
"Black-backed jackal","-2.36 [-5.24, 0.59]","-1.32 [-3.29, 0.05]","-1.60 [-2.81, -0.47]","0.37 [-0.43, 1.23]","-0.19 [-0.82, 0.47]","-1.88 [-3.93, 0.01]","-0.67 [-1.21, -0.20]","0.56 [-0.28, 1.42]","0.46 [-0.78, 2.04]","-0.27 [-1.32, 0.78]"
"Caracal","-3.98 [-7.23, -1.11]","-0.03 [-1.20, 1.33]","-1.24 [-3.16, 0.40]","-0.68 [-1.70, 0.26]","0.04 [-0.34, 0.42]","2.81 [1.11, 4.81]","-0.30 [-0.77, 0.16]","0.01 [-0.72, 0.75]","-0.02 [-1.23, 1.32]","-0.93 [-2.43, 0.40]"
"Cheetah","-2.99 [-6.22, 0.09]","-0.94 [-2.73, 0.41]","-0.05 [-1.48, 1.33]","0.48 [-0.43, 1.50]","-0.05 [-0.62, 0.52]","-2.31 [-5.14, 0.23]","-0.52 [-1.23, 0.08]","-0.39 [-1.52, 0.70]","-0.08 [-1.46, 1.43]","-0.47 [-2.23, 1.12]"
"Honey badger","-1.42 [-4.24, 1.40]","-0.26 [-1.40, 1.01]","-0.70 [-2.03, 0.43]","1.18 [0.14, 2.45]","0.39 [-0.07, 0.94]","2.58 [0.79, 4.57]","-0.25 [-0.71, 0.20]","-0.28 [-1.17, 0.56]","0.27 [-0.82, 1.49]","-0.99 [-2.77, 0.71]"
