"","(Intercept)","scale(temp_seas)","scale(precip)","scale(clay)","scale(water_dist)","closed_prop","scale(rough_range)","scale(log_hum_pop)","as.factor(WDPA)4","as.factor(WDPA)6"
"Community","-1.69, 0.98 [-3.25, -0.02]","-0.51, 0.93 [-1.25, 0.16]","-0.84, 0.97 [-1.73, 0.05]","0.10, 0.66 [-0.40, 0.62]","0.06, 0.68 [-0.20, 0.33]","0.25, 0.66 [-0.99, 1.48]","-0.32, 0.99 [-0.60, -0.06]","0.01, 0.52 [-0.53, 0.56]","-0.12, 0.65 [-0.75, 0.55]","-0.40, 0.83 [-1.25, 0.45]"
"Aardwolf","-4.43, 1.00 [-7.61, -1.37]","-1.13, 0.95 [-2.93, 0.19]","-4.01, 1.00 [-6.09, -2.27]","-0.41, 0.86 [-1.20, 0.34]","-0.11, 0.69 [-0.56, 0.37]","-1.54, 0.96 [-3.32, 0.13]","-0.73, 1.00 [-1.32, -0.22]","1.11, 1.00 [0.35, 1.92]","-0.23, 0.67 [-1.42, 0.91]","-0.87, 0.93 [-2.05, 0.27]"
"African civet","-1.72, 0.88 [-4.51, 1.10]","0.34, 0.65 [-0.89, 1.91]","-0.50, 0.80 [-1.68, 0.67]","-0.59, 0.88 [-1.69, 0.40]","-0.16, 0.75 [-0.60, 0.28]","2.25, 0.99 [0.38, 4.23]","0.07, 0.61 [-0.39, 0.56]","-1.82, 1.00 [-3.07, -0.68]","0.60, 0.77 [-0.77, 2.45]","-0.79, 0.86 [-2.29, 0.68]"
"African wild dog","-2.36, 0.95 [-5.29, 0.46]","-0.58, 0.84 [-1.88, 0.55]","-1.33, 1.00 [-2.36, -0.43]","0.28, 0.75 [-0.53, 1.12]","0.01, 0.53 [-0.30, 0.31]","1.61, 1.00 [0.43, 2.85]","-0.30, 0.89 [-0.79, 0.18]","0.34, 0.86 [-0.27, 0.98]","-1.09, 0.98 [-2.45, -0.02]","-1.65, 0.99 [-3.28, -0.19]"
"African wildcat","-3.92, 0.99 [-7.21, -0.88]","-0.83, 0.91 [-2.32, 0.41]","-0.39, 0.72 [-1.74, 0.90]","-0.47, 0.89 [-1.28, 0.29]","-0.09, 0.63 [-0.63, 0.47]","0.19, 0.59 [-1.56, 1.92]","-0.34, 0.92 [-0.86, 0.14]","0.50, 0.90 [-0.28, 1.30]","-0.01, 0.53 [-1.21, 1.26]","0.41, 0.72 [-0.87, 1.91]"
"Bat-eared fox","-4.28, 1.00 [-7.71, -1.15]","-1.20, 0.95 [-3.31, 0.19]","-1.77, 1.00 [-3.25, -0.48]","-0.28, 0.75 [-1.13, 0.54]","-0.24, 0.80 [-0.84, 0.26]","-1.67, 0.94 [-3.90, 0.34]","-0.34, 0.88 [-0.94, 0.21]","0.81, 0.96 [-0.11, 1.76]","-0.26, 0.66 [-1.70, 1.13]","-0.72, 0.90 [-1.87, 0.40]"
"Black-backed jackal","-2.47, 0.95 [-5.56, 0.52]","-1.30, 0.96 [-3.28, 0.09]","-1.62, 1.00 [-2.89, -0.47]","0.36, 0.80 [-0.45, 1.21]","-0.19, 0.71 [-0.83, 0.48]","-1.86, 0.97 [-3.95, 0.04]","-0.68, 1.00 [-1.20, -0.20]","0.57, 0.90 [-0.28, 1.42]","0.47, 0.73 [-0.80, 2.06]","-0.29, 0.71 [-1.35, 0.79]"
"Caracal","-3.99, 0.99 [-7.04, -1.03]","-0.04, 0.55 [-1.28, 1.38]","-1.19, 0.91 [-2.99, 0.51]","-0.68, 0.92 [-1.68, 0.27]","0.03, 0.56 [-0.36, 0.42]","2.80, 1.00 [1.08, 4.75]","-0.30, 0.91 [-0.77, 0.15]","0.01, 0.52 [-0.72, 0.74]","-0.02, 0.53 [-1.18, 1.24]","-0.94, 0.91 [-2.38, 0.41]"
"Cheetah","-3.07, 0.98 [-6.38, -0.06]","-0.93, 0.90 [-2.78, 0.40]","-0.10, 0.55 [-1.63, 1.29]","0.47, 0.84 [-0.48, 1.45]","-0.05, 0.57 [-0.60, 0.50]","-2.31, 0.96 [-5.15, 0.26]","-0.53, 0.95 [-1.26, 0.09]","-0.38, 0.75 [-1.52, 0.72]","-0.09, 0.57 [-1.53, 1.43]","-0.50, 0.73 [-2.28, 1.12]"
"Honey badger","-1.27, 0.81 [-4.07, 1.61]","-0.28, 0.69 [-1.46, 0.96]","-0.68, 0.88 [-1.96, 0.48]","1.15, 0.99 [0.09, 2.43]","0.39, 0.94 [-0.09, 0.96]","2.58, 1.00 [0.82, 4.58]","-0.25, 0.86 [-0.72, 0.21]","-0.31, 0.77 [-1.21, 0.56]","0.26, 0.66 [-0.82, 1.53]","-1.03, 0.89 [-2.81, 0.66]"
"Leopard","-0.18, 0.55 [-2.86, 2.65]","-0.15, 0.62 [-1.30, 1.10]","0.55, 0.92 [-0.22, 1.38]","-0.65, 0.99 [-1.29, -0.07]","-0.08, 0.66 [-0.50, 0.37]","2.58, 1.00 [1.08, 4.44]","0.16, 0.81 [-0.21, 0.54]","-0.41, 0.86 [-1.20, 0.33]","0.32, 0.74 [-0.58, 1.36]","-0.30, 0.71 [-1.42, 0.85]"
"Lion","1.38, 0.83 [-1.35, 4.41]","-0.10, 0.58 [-1.24, 1.19]","0.28, 0.72 [-0.60, 1.28]","1.12, 1.00 [0.33, 2.12]","0.21, 0.82 [-0.24, 0.71]","-0.41, 0.72 [-1.80, 0.97]","-0.28, 0.93 [-0.68, 0.09]","-0.20, 0.72 [-0.88, 0.46]","-0.62, 0.91 [-1.65, 0.32]","-1.73, 0.98 [-3.31, -0.05]"
"Serval","0.06, 0.51 [-2.43, 2.72]","-0.28, 0.71 [-1.35, 0.86]","0.27, 0.73 [-0.52, 1.17]","0.53, 0.95 [-0.09, 1.25]","0.10, 0.72 [-0.23, 0.45]","0.09, 0.56 [-1.16, 1.29]","-0.82, 1.00 [-1.32, -0.44]","-0.44, 0.93 [-1.10, 0.15]","-0.07, 0.57 [-0.88, 0.74]","-0.51, 0.84 [-1.60, 0.47]"
"Side-striped jackal","-3.98, 1.00 [-7.04, -1.04]","0.28, 0.63 [-0.97, 1.74]","-0.01, 0.51 [-1.47, 1.44]","0.09, 0.57 [-0.84, 1.01]","0.64, 1.00 [0.18, 1.17]","1.84, 0.96 [-0.16, 4.00]","-0.27, 0.90 [-0.69, 0.15]","-0.35, 0.77 [-1.30, 0.57]","-0.22, 0.64 [-1.46, 0.97]","-1.06, 0.86 [-3.28, 0.83]"
"Spotted hyaena","3.53, 0.98 [0.08, 6.93]","-0.32, 0.72 [-1.52, 0.96]","0.54, 0.78 [-0.81, 1.97]","0.08, 0.56 [-0.97, 1.13]","0.20, 0.76 [-0.34, 0.80]","1.11, 0.83 [-1.15, 3.52]","-0.35, 0.93 [-0.82, 0.12]","-0.13, 0.59 [-1.18, 0.88]","-0.48, 0.76 [-2.02, 0.79]","1.33, 0.95 [-0.25, 3.03]"
"Striped hyaena","-4.69, 1.00 [-8.27, -1.54]","-1.32, 0.96 [-3.58, 0.14]","-3.60, 1.00 [-5.31, -2.16]","0.58, 0.92 [-0.24, 1.43]","0.26, 0.81 [-0.31, 0.86]","-2.93, 1.00 [-5.10, -0.90]","0.08, 0.60 [-0.41, 0.62]","0.83, 0.94 [-0.22, 2.05]","-0.34, 0.68 [-2.02, 1.17]","2.42, 0.98 [0.14, 4.87]"
