"","taxon","(Intercept)","scale(temp_seas)","scale(precip)","scale(clay)","scale(water_dist)","closed_prop","scale(rough_range)","scale(log_hum_pop)","as.factor(WDPA)4","as.factor(WDPA)6"
"1","community",0.976,0.929,0.969,0.662,0.683,0.665,0.989,0.522,0.652,0.831
"2","Aardwolf",0.998,0.949,1,0.857,0.695,0.965,0.998,0.998,0.668,0.934
"3","African civet",0.879,0.646,0.795,0.878,0.752,0.988,0.611,1,0.77,0.858
"4","African wild dog",0.949,0.842,0.997,0.746,0.527,0.996,0.89,0.862,0.977,0.986
"5","African wildcat",0.995,0.905,0.717,0.89,0.633,0.588,0.917,0.897,0.525,0.718
"6","Bat-eared fox",0.996,0.949,0.997,0.745,0.805,0.943,0.885,0.958,0.659,0.899
"7","Black-backed jackal",0.951,0.964,0.997,0.799,0.713,0.97,0.998,0.901,0.73,0.707
"8","Caracal",0.994,0.546,0.91,0.918,0.559,0.999,0.906,0.515,0.531,0.913
"9","Cheetah",0.976,0.903,0.549,0.836,0.568,0.961,0.955,0.746,0.57,0.73
"10","Honey badger",0.813,0.688,0.876,0.985,0.942,0.998,0.864,0.766,0.661,0.892
"11","Leopard",0.555,0.624,0.915,0.986,0.656,1,0.805,0.859,0.735,0.713
"12","Lion",0.83,0.584,0.715,0.998,0.822,0.721,0.928,0.719,0.906,0.978
"13","Serval",0.508,0.709,0.727,0.95,0.725,0.564,1,0.93,0.571,0.841
"14","Side-striped jackal",0.997,0.628,0.507,0.571,0.998,0.964,0.897,0.769,0.643,0.862
"15","Spotted hyaena",0.978,0.724,0.782,0.561,0.759,0.834,0.927,0.594,0.756,0.948
"16","Striped hyaena",0.999,0.959,1,0.919,0.814,0.998,0.601,0.936,0.679,0.983
